Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
11232_H02_E1_PNS	0	0.183008338938956	0	0.0751090527067829	0	0.436328158545527	0	0.0246060639078336	0	0	0.138823688992211	0	0.035265561516838	0	0.0231079395293459	0.019804088021423	0.00414603738611255	0.0161367723454665	0.013603685056856	0.0167140286998571	0	0.0133465843527902	0	0.353982959916397	0.943852267659032
11237_H03_E1_PNS	0.0118960109811866	0.140932865434898	0	0	0	0.293123920034555	0	0.0796681124254324	0.000673331127999923	0	0.121135223630801	0	0.0518519965837229	0.0406229154881254	0	0.0109129945633093	0.0136621055892655	0.0837357551474199	0.109720394169007	0	0.0397115860603495	0.00235278876392817	0	0.321980798052163	0.948912276656656
11240_H04_E1_PNS	0.0376618146651394	0.178671113273263	0.0145252851293063	0.0699763450085121	0.115997110514446	0.260713381077198	0.0850755680608362	0.00303255870276545	0	0	0	0.0357448322898919	0.0281427741965842	0.0166160660010191	0.00350594899191388	0.0351433198949741	0	0.0394576901117542	0.0751284593674969	0	0	0.000607732714899061	0	0.533659979735389	0.851506491000732
11248_H05_E1_PNS	0.0363201251306971	0.130881117204766	0.00295558717695226	0.0320455222345289	0	0.484742830491743	0.00260967726021246	0	0	0	0.0700917709441621	0	0.0183517640879806	0.0477258787920996	0.011829396678475	0.080686626876439	0.00649614578768747	0.0545996735245372	0.0173169134920638	0	0.00334697031765469	0	0	0.350697077978344	0.940736106596936
11250_H05_E2_PNS	0.0405076248889269	0.161379596808804	0	0.0363993269762192	0	0.460601470216127	0	0.0321814663743937	0	0	0.0129035542993898	0.0318224584701756	0.0155231563820735	0.0462895544289703	0.00384009971802776	0.0543087727477512	0	0.0791122585015852	0.0251306601875558	0	0	0	0	0.382359500648186	0.925940047991692
10517_A34_E1_NAT	0	0.107031295757344	0.00667450403672537	0.277446402875284	0.000122538829989464	0	0.114219107740212	0.114744033768735	0.0036762505713787	0	0.116354879655197	0	0.0183064025986534	0.0150443905181978	0.0943826799781349	0.0391569345110684	0.00719862380583673	0.00411489803562245	0.0813502423634567	0	0	0.000176814954164579	0	0.297767822882655	0.965288276027614
10544_A10_E1_NAT	0.09330299334525	0.100104618933955	0	0.31025097643618	0	0	0	0.0680283764761243	0.000687717416157452	0	0.0476152759900846	0.00597325101814198	0.00349561207651264	0.0416482549989244	0.0648492385262033	0.0644537612503654	0	0.0552768608816799	0.0838148494374797	0	0	0.0604982132129417	0	0.418583498604282	0.907462624513008
10204_A35_E1_NAT	0	0.144107341942939	0.0288605387009163	0.206595165414171	0	0.185295730443473	0.00191946350888215	0.00925601400763891	0	0	0	0.0529990134324884	0.0433498853651736	0.149843498563868	0.0814616057104829	0.0639002803713681	0	0.000901912007889691	0.0178689836084971	0	0.000172340269959437	0.0134682266522524	0	0.353314380511365	0.937664997394553
10602_A94_E1_NAT	0	0.143496154702065	0.0111907336111321	0.0262737438817586	0	0.308412001317336	0.00326109538850031	0.0615999449445703	0.00868338113956837	0	0	0.0422890454199161	0.0050211267326839	0.0669799539717446	0.0508855985642155	0.0733338815675128	0.0152694169491292	0.00420015271083021	0.155515693724329	0	0	0.023588075374708	0	0.306196551129534	0.954873053921026
10234_A82_E1_NAT	0	0.0729309435845975	0.017313513745749	0.134082772533925	0.0675006310022963	0.0945530242658442	0.166258853318178	0	0	0	0	0.0427303733506149	0	0.0889807928982836	0.0141743067311417	0	0.00343338319416852	0.104958891291287	0.122201523475647	0	0.00477997684219217	0.0661010137660755	0	0.298465227458288	0.957070350109359
10187_A08_E1_NAT	0	0.0786348836181826	0.0162740455086717	0.174322094688201	0	0.148394989270184	0.00336961199786104	0.0938030806449403	0.00566322017677264	0	0	0.117448345919222	0.0395714019790878	0.0843756188807003	0.0959238898980873	0.00711863776051627	0	0.0442364623635278	0.0729644722340608	0	0.00089334356205126	0.0170059014979328	0	0.309389438231656	0.957780854383165
