	STAR_mqc.generalstats.star.uniquely_mapped_percent	featureCounts_mqc.generalstats.featurecounts.Assigned	STAR_mqc.generalstats.star.uniquely_mapped	featureCounts_mqc.generalstats.featurecounts.percent_assigned
10181_A05_T2_TUM	26.81	1477118	4763262	31.0142465169
10188_A11_T1_TUM	26.79	727890	5017432	14.5089917517
10190_A11_S1_TME	32.53	710752	6277096	11.3243375142
10195_A17_T2_TUM	28.06	929107	4118863	22.5599457264
10206_A39_T2_TUM	28.01	1606620	4568669	35.170128398
10210_A40_T2_TUM	18.09	797686	2972220	26.8416570177
10223_A63_T1_TUM	21.31	975720	3500603	27.8767425821
10225_A63_S1_TME	22.9	1137342	4632316	24.5554945991
10226_A63_E1_NAT	23.83	708114	4246860	16.6759806335
10258_A34_S1_TME	26.48	672405	4088665	16.4475631419
10265_A64_T1_TUM	21.05	718241	4053508	17.7213937468
10266_A64_S1_TME	23.52	642749	4499363	14.287149592
10299_A59_T1_TUM	27.6	1217534	4310284	28.2507463906
10300_A59_S1_TME	28.87	901324	3746752	24.0592311661
10309_A45_T1_TUM	22.8	589285	2228103	26.4510282184
10310_A45_S1_TME	24.54	467846	3254506	14.3773186448
10319_A76_T1_TUM	22.18	257143	2703492	9.51269553071
10488_A16_T2_TUM	27.91	1527888	4797596	31.8509532951
10491_A47_T2_TUM	26.61	759871	4051514	18.7577126418
10495_A71_T2_TUM	31.17	105968	1429433	7.41418117475
10497_A60_T2_TUM	29.57	281322	1358950	20.7039986576
10502_A51_T1_TUM	31.42	439749	1289149	34.1163893257
10505_A51_S1_TME	25.09	324667	1174849	27.6383141554
10514_A34_T1_TUM	27.16	421390	1320005	31.9274032116
10516_A34_S1_TME	27.91	271020	1245528	21.7622771137
10517_A34_E1_NAT	26.11	301926	1136476	26.5702744801
10541_A10_T1_TUM	25.75	287218	1337505	21.4771494311
10543_A10_S1_TME	26.26	159207	1155506	13.779825042
10544_A10_E1_NAT	29.98	262430	1523550	17.2270394214
10204_A35_E1_NAT	22.44	534993	1460272	36.6397423816
10211_A40_S1_TME	20.75	912948	1691739	53.970389673
10213_A49_T2_TUM	26.3	829136	1867977	44.3905967334
10236_A86_T2_TUM	21.97	827468	1751456	47.249515067
10271_A72_T1_TUM	17.57	364643	1221071	29.8652454911
10307_A20_T1_TUM	18.5	443467	1410268	31.4484377438
10308_A20_S1_TME	19.15	342741	1127200	30.4093458292
10327_A71_T1_TUM	14.9	275951	1119968	24.6419144095
